tid,code,nuts,almondnuts,brazil_nuts,macadamia_nuts,hazelnut,pistachio,walnut,cashew,celery,crustaceans,eggs,fish,gluten,lupin,milk,molluscs,mustard,peanut,sesame,soy,sulfite
4,4104420006065,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,1,0
5,4104420006065,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,1,0
10,4104420007963,2,1,0,0,2,0,0,2,0,0,0,0,1,0,2,0,0,0,0,1,0
11,4104420007963,2,1,0,0,2,0,0,2,0,0,0,0,1,0,2,0,0,0,0,1,0
12,4104420007987,2,2,0,0,2,1,1,0,0,0,2,0,2,2,1,0,0,0,0,1,0
13,4104420007987,2,2,0,0,2,1,1,0,0,0,2,0,2,2,1,0,0,0,0,1,0
16,4104420010628,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0
17,4104420010628,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0
36,4104420014701,0,0,0,0,0,0,0,0,2,0,0,0,2,0,1,0,0,0,0,2,0
37,4104420014701,0,0,0,0,0,0,0,0,2,0,0,0,2,0,1,0,0,0,0,2,0
44,4104420015289,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
45,4104420015289,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
54,4104420016149,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,1,0
55,4104420016149,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,1,0
64,4104420016545,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,1,0
65,4104420016545,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,1,0
70,4104420016781,1,1,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,1,1,1,0
71,4104420016781,1,1,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,1,1,1,0
94,4104420018907,1,1,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,1,1,1,0
95,4104420018907,1,1,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,1,1,1,0
108,4104420020443,0,0,0,0,0,0,0,0,1,0,1,0,2,0,1,0,1,0,0,1,0
109,4104420020443,0,0,0,0,0,0,0,0,1,0,1,0,2,0,1,0,1,0,0,1,0
112,4104420020504,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
113,4104420020504,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
120,4104420021327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
121,4104420021327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
122,4104420021785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
123,4104420021785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
126,4104420022287,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,1,0
127,4104420022287,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,1,0
128,4104420022683,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0
129,4104420022683,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0
152,4104420024960,2,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0
153,4104420024960,2,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0
156,4104420025066,2,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0
157,4104420025066,2,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0
160,4104420025547,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
161,4104420025547,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
162,4104420025721,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
163,4104420025721,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
164,4104420025929,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
165,4104420025929,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
166,4104420026704,2,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0
167,4104420026704,2,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0
172,4104420028289,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
173,4104420028289,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
174,4104420028326,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
175,4104420028326,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
176,4104420028364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
177,4104420028364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
186,4104420028487,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
187,4104420028487,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
190,4104420028708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
191,4104420028708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
192,4104420029569,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
193,4104420029569,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
198,4104420030220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
199,4104420030220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200,4104420030282,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
201,4104420030282,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
216,4104420031647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
217,4104420031647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
222,4104420031708,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0
223,4104420031708,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0
246,4104420037281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
247,4104420037281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
250,4104420037427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
251,4104420037427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
256,4104420037526,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
257,4104420037526,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
264,4104420038103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
265,4104420038103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
290,4104420045286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
291,4104420045286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
314,4104420053083,1,1,1,0,1,0,0,0,0,0,1,0,2,0,1,0,0,0,1,2,0
315,4104420053083,1,1,1,0,1,0,0,0,0,0,1,0,2,0,1,0,0,0,1,2,0
322,4104420053489,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,1,0
323,4104420053489,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,1,0
324,4104420053786,2,2,0,0,0,0,0,0,0,0,2,0,2,0,2,0,0,0,1,1,0
325,4104420053786,2,2,0,0,0,0,0,0,0,0,2,0,2,0,2,0,0,0,1,1,0
330,4104420053922,1,1,0,0,0,0,0,0,0,0,1,0,2,0,2,0,0,0,1,1,0
331,4104420053922,1,1,0,0,0,0,0,0,0,0,1,0,2,0,2,0,0,0,1,1,0
338,4104420054363,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,1,0
339,4104420054363,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,1,0
348,4104420055209,2,1,1,0,2,0,0,0,0,0,1,0,2,0,1,0,0,0,1,2,0
349,4104420055209,2,1,1,0,2,0,0,0,0,0,1,0,2,0,1,0,0,0,1,2,0
350,4104420055360,1,1,0,0,1,0,0,0,0,0,1,0,2,0,1,0,0,0,1,0,0
351,4104420055360,1,1,0,0,1,0,0,0,0,0,1,0,2,0,1,0,0,0,1,0,0
372,4104420056121,1,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,1,1,0
373,4104420056121,1,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,1,1,0
378,4104420056244,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0
379,4104420056244,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0
382,4104420056343,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0
383,4104420056343,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0
400,4104420057487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0
401,4104420057487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0
402,4104420060180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
403,4104420060180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
432,4104420073548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
433,4104420073548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
444,4104420074903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
445,4104420074903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
448,4104420076907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
449,4104420076907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
476,4104420080423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
477,4104420080423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
540,4104420134607,1,1,0,0,0,0,0,0,1,0,1,0,2,0,1,0,0,0,1,1,0
541,4104420134607,1,1,0,0,0,0,0,0,1,0,1,0,2,0,1,0,0,0,1,1,0
562,4104420136564,1,1,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,1,1,0
563,4104420136564,1,1,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,1,1,0
570,4104420137547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
571,4104420137547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
576,4104420137905,2,2,0,0,0,0,0,0,1,0,0,0,2,0,1,0,0,0,1,1,0
577,4104420137905,2,2,0,0,0,0,0,0,1,0,0,0,2,0,1,0,0,0,1,1,0
580,4104420138681,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
581,4104420138681,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
592,4104420140660,1,1,0,0,0,0,0,0,1,0,0,0,2,0,1,0,0,0,1,1,0
593,4104420140660,1,1,0,0,0,0,0,0,1,0,0,0,2,0,1,0,0,0,1,1,0
602,4104420140929,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
603,4104420140929,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
638,4104420142640,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
639,4104420142640,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
640,4104420142787,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0
641,4104420142787,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0
652,4104420144149,1,1,1,0,1,0,1,1,0,0,0,0,1,0,1,0,0,0,1,1,0
653,4104420144149,1,1,1,0,1,0,1,1,0,0,0,0,1,0,1,0,0,0,1,1,0
656,4104420145122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
657,4104420145122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
668,4104420145900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
669,4104420145900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
670,4104420145962,1,1,0,0,0,0,0,0,0,0,1,0,2,0,1,0,0,0,2,1,0
671,4104420145962,1,1,0,0,0,0,0,0,0,0,1,0,2,0,1,0,0,0,2,1,0
684,4104420146860,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
685,4104420146860,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
696,4104420173279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
697,4104420173279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
706,4104420173514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
707,4104420173514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
736,4104420179080,1,1,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,1,0
737,4104420179080,1,1,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,1,0
740,4104420179189,2,2,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,1,1,0
741,4104420179189,2,2,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,1,1,0
744,4104420179417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
745,4104420179417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
762,4104420181007,1,1,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,1,1,0
763,4104420181007,1,1,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,1,1,0
780,4104420182479,2,2,0,1,1,0,1,1,0,0,0,0,0,1,1,0,0,1,1,0,0
781,4104420182479,2,2,0,1,1,0,1,1,0,0,0,0,0,1,1,0,0,1,1,0,0
790,4104420183223,1,0,0,0,1,1,0,0,0,0,2,0,2,0,2,0,0,0,0,1,0
791,4104420183223,1,0,0,0,1,1,0,0,0,0,2,0,2,0,2,0,0,0,0,1,0
804,4104420184039,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
805,4104420184039,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
806,4104420184497,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0
807,4104420184497,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0
826,4104420187412,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,1,0
827,4104420187412,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,1,0
830,4104420188174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
831,4104420188174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
840,4104420204041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
841,4104420204041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
842,4104420204225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
843,4104420204225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
854,4104420205444,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0
855,4104420205444,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0
862,4104420206618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
863,4104420206618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
872,4104420207325,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
873,4104420207325,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
880,4104420208247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
881,4104420208247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
896,4104420209466,1,1,0,0,0,0,0,0,0,0,1,0,2,0,1,0,0,0,1,1,0
897,4104420209466,1,1,0,0,0,0,0,0,0,0,1,0,2,0,1,0,0,0,1,1,0
902,4104420209756,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
903,4104420209756,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
938,4104420214040,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
939,4104420214040,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
950,4104420214620,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
951,4104420214620,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
962,4104420215856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
963,4104420215856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
978,4104420218536,1,1,0,0,0,0,0,0,0,0,1,0,2,0,1,0,0,0,1,1,0
979,4104420218536,1,1,0,0,0,0,0,0,0,0,1,0,2,0,1,0,0,0,1,1,0
1008,4104420220355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
1009,4104420220355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
1012,4104420220713,1,1,0,1,1,0,1,1,0,0,0,0,0,1,1,0,0,2,1,0,0
1013,4104420220713,1,1,0,1,1,0,1,1,0,0,0,0,0,1,1,0,0,2,1,0,0
1028,4104420221710,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0
1029,4104420221710,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0
1034,4104420221833,1,1,1,1,1,1,1,1,0,0,0,0,2,0,1,0,0,0,0,1,0
1035,4104420221833,1,1,1,1,1,1,1,1,0,0,0,0,2,0,1,0,0,0,0,1,0
1054,4104420222748,2,1,0,0,2,1,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0
1055,4104420222748,2,1,0,0,2,1,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0
1064,4104420223530,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1065,4104420223530,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1090,4104420225770,1,1,0,0,0,0,0,0,0,0,1,0,2,0,1,0,0,0,1,1,0
1091,4104420225770,1,1,0,0,0,0,0,0,0,0,1,0,2,0,1,0,0,0,1,1,0
1092,4104420225800,2,2,0,0,2,0,0,0,0,0,1,0,2,0,1,0,0,0,1,1,0
1093,4104420225800,2,2,0,0,2,0,0,0,0,0,1,0,2,0,1,0,0,0,1,1,0
1122,42239499,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0
1123,42239499,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0
1130,42256199,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
1131,42256199,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
1146,42330660,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
1147,42330660,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
1154,42373186,1,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0
1155,42373186,1,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0
